person_uuid,org_uuid,job_uuid,started_on,ended_on,is_current,title,job_role,executive_role,advisory_role
00104afd-01f7-d1f0-90af-fff7af4a39ad,29cf2683-20c1-f185-2841-c21c0ad65991,171d901d-72fb-9395-fbf3-3935158a839c,,,f,Team Member,t,f,f
00104afd-01f7-d1f0-90af-fff7af4a39ad,c9256bba-b0ea-fa94-2f21-8d54788ffcc5,d8f5bfe5-4462-79cb-55f4-e295b2cdb8fc,,,f,Team Member,t,f,f
00104afd-01f7-d1f0-90af-fff7af4a39ad,8c63990c-84be-d178-1670-b51c15a30cff,0b470be9-db82-e7c1-ad35-a6b56cfbd8c4,,,f,Team Member,t,f,f
00104afd-01f7-d1f0-90af-fff7af4a39ad,cc1c1abf-7c27-0eba-fc0e-605106002058,54cd3a1d-fd3c-28e3-9e59-35ad27977ad2,,,f,Team Member,t,f,f
00104afd-01f7-d1f0-90af-fff7af4a39ad,808aa938-f826-cef1-c992-2cbbbd24caec,605f607b-9d06-5b3a-d66e-a30d1c096a6a,,,f,Team Member,t,f,f
00104afd-01f7-d1f0-90af-fff7af4a39ad,97644e28-742b-60b6-8873-35cd701ebb94,7536c9a9-afd0-e5da-bba1-2a8fa585f252,,,f,Team Member,t,f,f
00104afd-01f7-d1f0-90af-fff7af4a39ad,03b4c485-d96c-3c34-2e4c-e6c3d35066e0,9fc30734-75d7-4cb4-cf46-adcb9b6adf63,,,f,Team Member,t,f,f
00016334-9af9-1bae-0737-b5c0e906fcad,0393ec59-73c7-c747-c97d-43455ff3adfb,b5defebe-93b8-9d55-3bb3-40f076d65c3d,,,f,President - Chevron International Oil Company,t,t,f
0002b103-5086-f3af-a977-b1b22bb27f7f,7812260c-7e86-567f-1ac3-d58121cecf9f,43a68da7-a643-e0f2-e4e0-724751468656,,,f,Attorney,t,f,f
0002b103-5086-f3af-a977-b1b22bb27f7f,afc8d4ee-5c42-dee7-067f-226c251959b0,ce6e8ce6-18b1-dce2-d8f6-2001bbf2901c,,,t,Chief Operating Officer,t,t,f
000cc557-41b9-5790-4a58-aad9df704f75,bb28d78b-0341-5f23-3e53-0b4169e16c4b,918ea264-e694-beab-5435-1d6ebccba827,2010-08-02 00:00:00,,t,Chief Architect,t,f,f
000fcf27-3a2f-f2ab-2b4f-d7362f4451dd,a9bd0416-5fbb-fbf1-917a-5e1a8babac06,c3cb8d4f-4274-83fa-add1-38fc56430a63,,,t,Board of Trustees,f,f,t
000fcf27-3a2f-f2ab-2b4f-d7362f4451dd,63364fa9-fc3c-28af-ae49-e49838ae9267,24b15a41-21bf-e3c9-244c-2e2faeabc67d,,,f,Global Transportation Group,t,f,f
000fcf27-3a2f-f2ab-2b4f-d7362f4451dd,c97864c5-7392-e25f-3e63-a12bf51d2f61,723a3974-efd0-3a3c-1e62-2c835ee10ce4,,,f,CEO,t,t,f
000fcf27-3a2f-f2ab-2b4f-d7362f4451dd,d1901542-3b98-e89b-3603-f24b5aee3fdb,8408b1a3-d126-4374-c78a-964fd0b894ba,,,t,Board Member,f,t,t
000900e0-de66-f99d-38cb-def9d7b8a75b,85767bb9-1b17-9997-06a2-56525738e398,b1275cd2-1096-5265-81b7-f5e49104824f,2013-08-09 00:00:00,,t,COO/Co-Founder,t,t,f
